flowers,fruits,leaves,coreid,accessuri,basisofrecord,class_,continent,country,county,dynamicproperties,eventdate,family,fieldnotes,genus,kingdom,locality,occurrenceremarks,order_,phylum,reproductivecondition,scientificname,specificepithet,stateprovince,geopoint,split,buds,old_flowers,old_fruits,name
1,1,1,4eb17bb1-2c50-470a-a0bd-7969d37cb912,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00062/DES00062127_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,pinal county,,1983-05-20,cactaceae,,cylindropuntia,plantae,south side of woodruff road; 2k ne of lake of the desert; 2k ene of black butte.,Flowers pale green-yellow.,caryophyllales,tracheophyta,flowers & fruit,cylindropuntia spinosior,spinosior,arizona,"{""lat"": 32.952417, ""lon"": -111.639889}",train,0,1,1,4eb17bb1-2c50-470a-a0bd-7969d37cb912.jpg
0,0,1,a7603498-f938-4000-b16b-88b7e6bd6bc3,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00085/DES00085304_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,mohave county,,2014-09-11,martyniaceae,,proboscidea,plantae,"east of parker, east of osborne wash, along swansea to midland road.","Locally common herbaceous perennial, corolla dark yellow-red; 2 plants to DBG.",lamiales,tracheophyta,Flowers,proboscidea althaeifolia,althaeifolia,arizona,"{""lat"": 34.115142, ""lon"": -114.049132}",train,,0,0,a7603498-f938-4000-b16b-88b7e6bd6bc3.jpg
1,1,1,2fa24447-4829-4e6f-aa44-a206dc11e040,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00070/DES00070901_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,coconino,,2011-10-17,loasaceae,,mentzelia,plantae,"grand canyon national park, along south kaibab trail.","Locally common biennial(?) or herbaceous perennial, flowers yellow.",cornales,tracheophyta,flowers,mentzelia cronquistii,marginata,arizona,"{""lat"": 36.057298, ""lon"": -112.084717}",train,0,1,1,2fa24447-4829-4e6f-aa44-a206dc11e040.jpg
0,1,1,9fe880b9-deec-47ce-88a9-c9feaebd0510,http://sweetgum.nybg.org/images3/1630/210/02410033.jpg,preservedspecimen,magnoliopsida,north america,united states,bronx co.,,1899-06-12,polygonaceae,,rumex,plantae,herbaceous grounds. [=new york botanical garden?],"Original from: [Gauong] seed, 1897.",caryophyllales,tracheophyta,,rumex l.,acetosella,new york,"{""lat"": 40.862289, ""lon"": -73.877023}",train,0,0,1,9fe880b9-deec-47ce-88a9-c9feaebd0510.jpg
1,1,1,3b27ffa8-9fd0-462f-9403-beec42194cd7,http://www.pnwherbaria.org/images/jpeg.php?Image=MONTU005768.jpg,preservedspecimen,magnoliopsida,north america,united states,flathead,,1908-07-23,onagraceae,,clarkia,plantae,bigfork.,"Flora of Flathead Lake. No county listed on label, got Flathead Co. from USGS website.",myrtales,tracheophyta,flowers and fruits,clarkia pulchella,pulchella,montana,"{""lat"": 48.063287, ""lon"": -114.072613}",train,,1,1,3b27ffa8-9fd0-462f-9403-beec42194cd7.jpg
1,1,1,baee9f02-843e-406e-a888-443c4215856f,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00068/DES00068067_lg.jpg,preservedspecimen,,north america,united states,yavapai,,2008-10-22,cleomaceae,,peritoma,plantae,"agua fria national monument; indian creek, ca. 5.3 km nne of horseshoe ranch.","Single stemmed plants to 5 ft tall; leafless below and branched above. Petals bright yellow. Locally common on creek bottom, otherwise infrequent.",brassicales,magnoliophyta,flowers,peritoma jonesii,jonesii,arizona,"{""lat"": 34.293383, ""lon"": -112.0221}",train,0,1,1,baee9f02-843e-406e-a888-443c4215856f.jpg
0,1,1,b6b78585-caaf-413a-a22e-45ea26ab3328,http://cdn.flmnh.ufl.edu/Herbarium/jpg/155/155503a1.jpg,preservedspecimen,liliopsida,south america,peru,,,1982-07-15,heliconiaceae,,heliconia,plantae,,,zingiberales,tracheophyta,fruiting,heliconia velutina,velutina,san martín,,train,0,0,1,b6b78585-caaf-413a-a22e-45ea26ab3328.jpg
0,U,1,c06c9c83-ab3a-4f5d-ac1f-c75f132a2448,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00068/DES00068307_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,riverside county,,2010-03-16,boraginaceae,,cryptantha,plantae,"sonoran (colorado) desert; se side of mccoy mountains, upper part of wash c. 4.5 mi. nw of blythe airport, c. 3.5 mi. ene of mccoy peak (mccoy peak 7.5' q.)","Uncommon annual; fls. white. Widely distributed along wash, on slopes, and in shrubs.",boraginales,tracheophyta,Flowering & Fruiting,cryptantha nevadensis var. nevadensis,nevadensis,california,"{""lat"": 33.6561, ""lon"": -114.793}",train,,0,U,c06c9c83-ab3a-4f5d-ac1f-c75f132a2448.jpg
U,U,1,e7fff1e3-9a42-406e-81ee-914b688f380a,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00071/DES00071814_lg.jpg,preservedspecimen,liliopsida,north america,united states,yavapai county,,2011-10-09,poaceae,,panicum,plantae,"tent rocks area, along usfs rd. #500 on saddle north of tuff formations, approx. 7 miles southeast of camp verde","Annual grass, 60-70 cm. tall, occasional.",poales,tracheophyta,"Fruit, disarticulating",panicum hirticaule,hirticaule,arizona,"{""lat"": 34.499333, ""lon"": -111.750139}",train,,U,U,e7fff1e3-9a42-406e-81ee-914b688f380a.jpg
N,N,N,d4dbdd21-0644-4d15-9c4e-b973dd12f63c,http://n2t.net/ark:/65665/m319c15e82-a2ac-4dc0-b96b-d8d1806919db,machineobservation,monocotyledonae,,,,,,bromeliaceae,,ananas,plantae,,"Flora de Venezuela 12(1). 1971. p. 340. Fig. 25 Smith, Lyman B. Also in Flora Neotropica (Bromelioideae) Bromel. 1974. Fig. 728. Figure A. Ananas lucidus (Bromeliaceae). Collection: redrawn from Dillenius Icon, inflorescence. - ca. 1969.",bromeliales,,,ananas lucidus,lucidus,,,train,,N,N,d4dbdd21-0644-4d15-9c4e-b973dd12f63c.jpg
1,U,1,c18f65d5-a059-4b35-9db5-917e78eb648b,https://botanydb.colorado.edu/COLO_V/01643/01643923.jpg,preservedspecimen,,north america,united states,crook,,1935-05-20,scrophulariaceae,,collinsia,plantae,7 mi nw of hulett.,Imager: Ryan Allen; Date Imaged: 7/19/2013;,lamiales,magnoliophyta,flowering and fruiting,collinsia parviflora,parviflora,wyoming,,train,,1,U,c18f65d5-a059-4b35-9db5-917e78eb648b.jpg
1,1,1,5e198bdf-670c-420c-b891-478d70e1c5fa,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0006000/TAC06083.jpg,preservedspecimen,magnoliopsida,north america,united states,erath,,2007-05-10,fabaceae,,neptunia,plantae,"1.1 miles south from intersection i-20 and cr 107 near thurner, tx. coordinates: 32° 30.302n, 98° 24.990w.",Scattered; [Examined for Flora of Erath County-A.D.N.],fabales,tracheophyta,flowering,neptunia lutea,lutea,texas,"{""lat"": 32.505033, ""lon"": -98.4165}",train,,1,1,5e198bdf-670c-420c-b891-478d70e1c5fa.jpg
U,U,1,9fc39bc1-d541-4957-b096-2f5bc0e8e4d7,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00083/DES00083392_lg.jpg,preservedspecimen,,north america,mexico,sahuaripa,,2005-10-30,poaceae,,chloris,plantae,"en reserva de jaguares los pavos ca. de 1.5 km al ne de estacion de campo, en tanque de agua las tierritas.","Universidad de Sonora, Desert Botanical Garden, Northern Jaguar Project and Texas Christian University; Past amacollado, 30-40 cm de alro, inflorescencia 6 cm de largo. Abundante",poales,magnoliophyta,Flowers,chloris virgata,virgata,sonora,"{""lat"": 29.492917, ""lon"": -109.187383}",train,,U,U,9fc39bc1-d541-4957-b096-2f5bc0e8e4d7.jpg
1,1,1,c12d8fd8-c6bc-466d-87b5-66b4b63dd913,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00076/DES00076832_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,coconino county,,2005-09-10,plantaginaceae,,penstemon,plantae,"kaibab national forest, cocks comb geologic outcrop, north end.","Locally frequent suffrutescent, corolla red-orange.",lamiales,tracheophyta,Flowers,penstemon rostriflorus,rostriflorus,arizona,"{""lat"": 36.428883, ""lon"": -112.022417}",train,,1,1,c12d8fd8-c6bc-466d-87b5-66b4b63dd913.jpg
1,1,1,50505c43-8bd0-4396-b782-e63414715191,http://cdn.flmnh.ufl.edu/Herbarium/jpg/205/205177a1.jpg,preservedspecimen,magnoliopsida,north america,united states,citrus,,2000-05-09,hypericaceae,,hypericum,plantae,,"[Common name:] Pineweeds, orangegrass --[Label footing:] Florida Department of Environmental Protection. The Crystal River State Buffer Preserve Herbarium. --[Non-label note:] The number entered as coll. # actually appears at the top of the sheet as ""Accession #"". There are no collection numbers on the labels in this set, so the accession number is used for organizational purposes.",malpighiales,tracheophyta,flowering and fruiting,hypericum gentianoides,gentianioides,florida,,train,1,1,1,50505c43-8bd0-4396-b782-e63414715191.jpg
F,U,1,b2996c10-6669-4c31-9b96-aedd7c35511e,https://web.corral.tacc.utexas.edu/torch/TAC/TAC0000000/TAC00521.jpg,preservedspecimen,magnoliopsida,north america,united states,kleberg,,1996-05-22,bataceae,,batis,plantae,"padre island national seashore; 2.2 miles s of 4-wheel sign, tidal flats; first collected on tidal flat transect, flag 5-6",,brassicales,tracheophyta,fruiting,batis maritima,maritima,texas,,train,,1,U,b2996c10-6669-4c31-9b96-aedd7c35511e.jpg
0,0,1,e6558ecf-d011-4664-acdd-06bf8ef56d1e,https://swbiodiversity.org/imglib/h_seinet/seinet/ASU/ASU0056/ASU0056934_lg.jpg,preservedspecimen,magnoliopsida,north america,dominican republic,,Arbolito de 5m de alto; esteril.,1987-09-14,myrtaceae,,pimenta,plantae,aprox. 12.5km al ne de bayaguana y aprox. 3.5km al no del poblado trinidad; en el lugar llamado sabana larga; a orillas del arroyo 'la estancia'.,Arbolito de 5m de alto; esteril.,myrtales,tracheophyta,sterile,pimenta racemosa var. grisea,racemosa,monte plata,"{""lat"": 18.8333, ""lon"": -69.5333}",train,,0,0,e6558ecf-d011-4664-acdd-06bf8ef56d1e.jpg
0,1,1,0641dc22-9caa-4652-ba93-fc9377688f06,https://api.idigbio.org/v2/media/641f79b4da6faf57032a21542496a5e8?size=fullsize,preservedspecimen,magnoliopsida,north america,united states,will,,1992-10-24,fagaceae,,quercus,plantae,"monee township, raccoon grove, se corner of i-57 and pauling rd. jct.","Inner bark distinctly yellow/orange. Buds angular and hairy. Acorn caps distinctly fringed. Bark furrowed below, not plated above. 40-60' high, 18-30'' dbh. Georeferenced by: Louise and Leebased on collectors description",fagales,tracheophyta,Flower: N Fruit: Y Vegetation: Y Bud: Y,quercus velutina,bicolor,illinois,"{""lat"": 41.397384, ""lon"": -87.767404}",train,0,0,1,0641dc22-9caa-4652-ba93-fc9377688f06.jpg
1,1,1,852b3126-2273-4adb-b9b7-9cf5b3ef303e,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00086/DES00086600_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,maricopa county,,2017-03-25,solanaceae,,nicotiana,plantae,"white tank mountain regional park, north side of white tank mountain park.",Cream colored flower.,solanales,tracheophyta,Flower.,nicotiana obtusifolia,obtusifolia,arizona,"{""lat"": 33.626921, ""lon"": -112.584112}",train,,1,1,852b3126-2273-4adb-b9b7-9cf5b3ef303e.jpg
0,1,1,b550db82-9bf9-4133-ae96-ab000c9f1ecd,http://data.huh.harvard.edu/c1b72703-3ec1-4f34-a700-6449fa815b91/image,preservedspecimen,magnoliopsida,north america,united states,,"{""huh_taxonomic_group"": ""Vascular"", ""huh_project_id"": 7, ""huh_project_name"": ""US and Canada - Mass Digitization""}",1854,oleaceae,,fraxinus,plantae,[no additional data],,lamiales,tracheophyta,NotDetermined,fraxinus quadrangulata michaux,quadrangulata,kentucky,,train,0,0,1,b550db82-9bf9-4133-ae96-ab000c9f1ecd.jpg
U,U,1,038becf2-df6e-4f29-b32a-9342495db061,http://storage.idigbio.org/mor/aquatic/00028/0028487MOR_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,kenosha,,1972-09-08,amaranthaceae,,amaranthus,plantae,"in city of kenosha, just south of koos chemical plant, west of c. & n.w. railroad, in a dump in a vacant lot.",,caryophyllales,tracheophyta,Flower: N Fruit: Y Vegetation: Y Bud: N,amaranthus retroflexus,retroflexus,wisconsin,,train,,U,U,038becf2-df6e-4f29-b32a-9342495db061.jpg
1,0,1,52c8b502-735b-401a-b139-e2612870c336,https://api.idigbio.org/v2/media/6894f588ef96fbaa378551af935ff092?size=fullsize,preservedspecimen,liliopsida,north america,united states,lake,,1897-07-08,pontederiaceae,,pontederia,plantae,,Specimen with white flowers,commelinales,tracheophyta,,pontederia cordata var. lancifolia,cordata,indiana,,train,,1,0,52c8b502-735b-401a-b139-e2612870c336.jpg
1,0,1,1e8b2234-ce03-4521-bc34-5bd995d2531c,http://mam.ansp.org/image/CM/Fullsize/103/CM103321.jpg,preservedspecimen,magnoliopsida,north america,united states,allegheny,,1897-09-11,asteraceae,,helianthus,plantae,"near castle shannon, baldwin twp.",,asterales,tracheophyta,fl,helianthus hirsutus,hirsutus,pennsylvania,"{""lat"": 40.354272, ""lon"": -80.020691}",train,,1,0,1e8b2234-ce03-4521-bc34-5bd995d2531c.jpg
1,1,1,95d39c14-4457-4af0-9d04-b2461b032757,http://www.pnwherbaria.org/images/jpeg.php?Image=IDS0066593.jpg,preservedspecimen,magnoliopsida,north america,united states,elko,,2014-06-28,grossulariaceae,,ribes,plantae,"uppermost headwaters of the bruneau river. along trail from the top of the divide (st. marys river headwaters to the south, bruneau river headwaters to the northwest) down to the spring.",,saxifragales,tracheophyta,fruits,ribes aureum,aureum,nevada,"{""lat"": 41.54604, ""lon"": -115.40921}",train,0,1,1,95d39c14-4457-4af0-9d04-b2461b032757.jpg
0,0,0,ee9a7a15-29dc-4de2-976c-058c6f5cab84,http://www.pnwherbaria.org/images/jpeg.php?Image=SRP-L-0002008.jpg,preservedspecimen,magnoliopsida,north america,canada,parry sound,,1955-08-14,crassulaceae,,umbilicaria,plantae,"cowper twp., island in georgian bay.",,saxifragales,tracheophyta,vegetative,umbilicaria deusta,deusta,ontario,"{""lat"": 45.346, ""lon"": -80.0451}",train,0,0,0,ee9a7a15-29dc-4de2-976c-058c6f5cab84.jpg
1,0,1,f4a89e3b-3b54-4023-91da-91b19f18f13b,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00013/DES00013824_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,yuma county,Shrub to 0.7 meter tall and 1 meter wide.,0976-04-17,krameriaceae,,krameria,plantae,1/4 mile north of tule well.,Shrub to 0.7 meter tall and 1 meter wide.,zygophyllales,tracheophyta,flowers,krameria bicolor,bicolor,arizona,"{""lat"": 32.2842, ""lon"": -113.749}",train,,1,0,f4a89e3b-3b54-4023-91da-91b19f18f13b.jpg
1,1,1,bdfe8437-7aa6-43b6-8d7c-802e162615bf,http://www.pnwherbaria.org/images/jpeg.php?Image=MONT039396.jpg,preservedspecimen,magnoliopsida,north america,united states,glacier,,1903-07-27,onagraceae,,gayophytum,plantae,midvale.,,myrtales,tracheophyta,vegetative,gayophytum racemosum,racemosum,montana,,train,,1,1,bdfe8437-7aa6-43b6-8d7c-802e162615bf.jpg
0,1,1,d0968c8f-1a3d-4ffd-b3fd-56a1ae77b5fd,https://bisque.cyverse.org/image_service/image/00-Jjj9PTL8kiX98CBWTxJieD?resize=4000&format=jpeg,preservedspecimen,magnoliopsida,north america,united states,citrus,,1983-08-14,nelumbonaceae,,nelumbo,plantae,5 miles south of citrus springs on us 41. pond 100 ft west of road.,"Petioles extending above the water line. Blades green above, glaucous below. Flowers yellow, scinted, beetles within. Sap white.",proteales,tracheophyta,ft,nelumbo lutea,lutea,florida,"{""lat"": 28.910185000000002, ""lon"": -82.381014}",train,,0,1,d0968c8f-1a3d-4ffd-b3fd-56a1ae77b5fd.jpg
0,1,1,3e7fc406-cf1d-4fe3-a4ee-1578bb1a6b2c,http://storage.idigbio.org/emc/aquatic/p/EMC012/EMC012725_lg.jpg,preservedspecimen,liliopsida,north america,united states,lapeer,,1975-07-17,iridaceae,,iris,plantae,east margin of cedar lake.,"Leaves flat, sword-like and equitant; 2-3 ft.",asparagales,tracheophyta,,iris versicolor,versicolor,michigan,,train,,0,1,3e7fc406-cf1d-4fe3-a4ee-1578bb1a6b2c.jpg
0,0,1,6d4b54af-7603-4048-930b-9bc879bf6e2a,http://www.pnwherbaria.org/images/jpeg.php?Image=CIC050860.jpg,preservedspecimen,magnoliopsida,north america,united states,twin falls,,1994-08-11,grossulariaceae,,ribes,plantae,"hagerman fossil beds national monument, plateau about .2 mi sw of fossil gulch; hagerman quad 7.5' t7s r13e s17 nw 1/4 of ne 1/4 <br/><br/> <br/>",,saxifragales,tracheophyta,vegetative,ribes aureum,aureum,idaho,"{""lat"": 42.818789, ""lon"": -114.957272}",train,0,0,0,6d4b54af-7603-4048-930b-9bc879bf6e2a.jpg
U,1,1,a88572d2-aca4-400d-a889-3f028ee19bc8,http://storage.idigbio.org/mor/aquatic/00085/0085263MOR_lg.jpg,preservedspecimen,magnoliopsida,north america,united states,park,,1986-08-16,salicaceae,,salix,plantae,"top of buttress mtn. ca. 3-4 mi. n. of hwy 14, 16 & 20. absaroka range.",,malpighiales,tracheophyta,Flower: N Fruit: Y Vegetation: Y Bud: N,salix arctica,arctica,wyoming,,train,0,U,1,a88572d2-aca4-400d-a889-3f028ee19bc8.jpg
U,U,1,52b3e5bf-507d-4537-8032-3afbde360485,https://swbiodiversity.org/imglib/h_seinet/seinet/DES/DES00069/DES00069871_lg.jpg,preservedspecimen,liliopsida,north america,united states,coconino county,,2010-09-24,poaceae,,muhlenbergia,plantae,"grand canyon national park, emmett creek, just north of the old bright angel trail and bright angel canyon.",Uncommon herbaceous perennial.,poales,tracheophyta,Flowering,muhlenbergia curtifolia,curtifolia,arizona,"{""lat"": 36.208465, ""lon"": -112.024371}",train,,U,U,52b3e5bf-507d-4537-8032-3afbde360485.jpg
